id,t,h,ts
dht22-yellow,22.1,38.2,00:00:24
dht22-yellow,22.1,37.9,00:02:26
dht22-yellow,22.1,37.9,00:04:27
dht22-yellow,22,37.7,00:06:29
dht22-yellow,22,37.6,00:08:32
dht22-yellow,22,37.6,00:10:35
dht22-yellow,22,37.6,00:12:39
dht22-yellow,22.1,37.6,00:14:43
dht22-yellow,22.1,38.5,00:16:45
dht22-yellow,22.1,38.7,00:18:48
dht22-yellow,22.1,38.8,00:20:50
dht22-yellow,22.1,38.9,00:22:52
dht22-yellow,22,38.8,00:24:53
dht22-yellow,22,38.8,00:26:57
dht22-yellow,22,38.4,00:28:58
dht22-yellow,22.1,38.3,00:31:00
dht22-yellow,22.1,38.3,00:33:01
dht22-yellow,22.1,38.2,00:35:03
dht22-yellow,22.1,38.3,00:37:04
dht22-yellow,22.1,38.3,00:39:06
dht22-yellow,22.1,38.2,00:41:07
dht22-yellow,22.1,38.6,00:43:09
dht22-yellow,22.1,38.6,00:45:10
dht22-yellow,22,38.7,00:47:12
dht22-yellow,22,38.7,00:49:13
dht22-yellow,22,38.7,00:51:16
dht22-yellow,22,38.7,00:53:19
dht22-yellow,22.1,38.4,00:55:23
dht22-yellow,22.1,38.3,00:57:26
dht22-yellow,22.1,38.2,00:59:30
dht22-yellow,22.1,38.2,01:01:33
dht22-yellow,22.1,38.1,01:03:37
dht22-yellow,22.1,38.1,01:05:40
dht22-yellow,22.1,38.3,01:07:44
dht22-yellow,22.1,38.5,01:09:45
dht22-yellow,22.1,38.4,01:11:47
dht22-yellow,22.1,38.4,01:13:48
dht22-yellow,22,38.5,01:15:51
dht22-yellow,21.9,38.5,01:17:52
dht22-yellow,22,38.6,01:19:54
dht22-yellow,22,38.5,01:21:55
dht22-yellow,22.1,38.6,01:23:57
dht22-yellow,22.2,38.4,01:25:58
dht22-yellow,22.2,38.3,01:28:00
dht22-yellow,22.2,38.2,01:30:01
dht22-yellow,22.2,38.1,01:32:05
dht22-yellow,22.2,38.2,01:34:07
dht22-yellow,22.2,38.2,01:36:08
dht22-yellow,22.2,38.3,01:38:10
dht22-yellow,22.2,38.3,01:40:11
dht22-yellow,22.2,38.2,01:42:15
dht22-yellow,22.2,38.3,01:44:20
dht22-yellow,22.2,38.2,01:46:24
dht22-yellow,22.2,38.1,01:48:27
dht22-yellow,22.2,38.4,01:50:33
dht22-yellow,22.2,38,01:52:39
dht22-yellow,22.2,38.2,01:54:42
dht22-yellow,22.3,38.1,01:56:45
dht22-yellow,22.3,38.1,01:58:49
dht22-yellow,22.3,38.3,02:00:53
dht22-yellow,22.3,37.9,02:02:54
dht22-yellow,22.2,38.3,02:04:58
dht22-yellow,22.2,38.2,02:07:04
dht22-yellow,22.3,38.2,02:09:06
dht22-yellow,22.2,38.1,02:11:07
dht22-yellow,22.2,38.4,02:13:09
dht22-yellow,22.2,38.4,02:15:10
dht22-yellow,22.2,38.3,02:17:12
dht22-yellow,22.2,38.3,02:19:18
dht22-yellow,22.2,38.3,02:21:19
dht22-yellow,22.2,38.4,02:23:23
dht22-yellow,22.1,38.9,02:25:24
dht22-yellow,22.1,38.9,02:27:25
dht22-yellow,22.1,39.2,02:29:28
dht22-yellow,22.1,39.2,02:31:32
dht22-yellow,22,39.2,02:33:35
dht22-yellow,22,38.7,02:35:38
dht22-yellow,22,38.7,02:37:42
dht22-yellow,22,38.5,02:39:46
dht22-yellow,22,38.6,02:41:49
dht22-yellow,22,38.6,02:43:51
dht22-yellow,22,38.8,02:45:52
dht22-yellow,22,39.1,02:47:56
dht22-yellow,22,39.1,02:50:00
dht22-yellow,22,39.1,02:52:01
dht22-yellow,22,39,02:54:03
dht22-yellow,21.9,38.9,02:56:04
dht22-yellow,21.9,39,02:58:06
dht22-yellow,21.9,39,03:00:08
dht22-yellow,21.9,39.2,03:02:09
dht22-yellow,21.9,39.8,03:04:11
dht22-yellow,21.9,39.5,03:06:16
dht22-yellow,21.9,39.4,03:08:20
dht22-yellow,21.9,39.3,03:10:23
dht22-yellow,21.9,39.3,03:12:24
dht22-yellow,21.9,39.4,03:14:27
dht22-yellow,21.9,39.7,03:16:30
dht22-yellow,21.9,39.6,03:18:32
dht22-yellow,21.9,39.7,03:20:36
dht22-yellow,21.9,39.7,03:22:39
dht22-yellow,21.8,39.6,03:24:42
dht22-yellow,21.8,39.6,03:26:45
dht22-yellow,21.8,39.4,03:28:49
dht22-yellow,21.8,39.4,03:30:51
dht22-yellow,21.8,39.4,03:32:53
dht22-yellow,21.8,39.3,03:34:57
dht22-yellow,21.7,39.2,03:36:58
dht22-yellow,21.7,39.4,03:39:00
dht22-yellow,21.7,39.7,03:41:01
dht22-yellow,21.7,39.6,03:43:03
dht22-yellow,21.7,39.7,03:45:04
dht22-yellow,21.7,39.7,03:47:08
dht22-yellow,21.7,39.8,03:49:10
dht22-yellow,21.7,39.7,03:51:13
dht22-yellow,21.6,39.4,03:53:16
dht22-yellow,21.6,39.3,03:55:20
dht22-yellow,21.6,39.3,03:57:26
dht22-yellow,21.6,39.3,03:59:29
dht22-yellow,21.6,39.2,04:01:33
dht22-yellow,21.6,39.4,04:03:36
dht22-yellow,21.6,39.7,04:05:40
dht22-yellow,21.6,39.7,04:07:43
dht22-yellow,21.6,39.8,04:09:48
dht22-yellow,21.5,39.8,04:11:51
dht22-yellow,21.5,39.7,04:13:55
dht22-yellow,21.5,40.4,04:16:01
dht22-yellow,21.5,39.5,04:18:07
dht22-yellow,21.6,39.3,04:20:08
dht22-yellow,21.6,39.4,04:22:10
dht22-yellow,21.7,39.4,04:24:18
dht22-yellow,21.7,39.8,04:26:23
dht22-yellow,21.7,39.5,04:28:27
dht22-yellow,21.7,39.4,04:30:30
dht22-yellow,21.7,39.8,04:32:34
dht22-yellow,21.7,40,04:34:35
dht22-yellow,21.7,39.6,04:36:37
dht22-yellow,21.7,39.6,04:38:38
dht22-yellow,21.7,39.6,04:40:42
dht22-yellow,21.8,39.6,04:42:45
dht22-yellow,21.8,39.6,04:44:48
dht22-yellow,21.8,39.6,04:46:51
dht22-yellow,21.8,39.5,04:48:53
dht22-yellow,21.8,39.6,04:50:54
dht22-yellow,21.8,39.6,04:52:56
dht22-yellow,21.8,39.7,04:54:57
dht22-yellow,21.8,40.3,04:57:01
dht22-yellow,21.7,39.7,04:59:05
dht22-yellow,21.7,39.7,05:01:11
dht22-yellow,21.7,39.6,05:03:19
dht22-yellow,21.7,39.5,05:05:28
dht22-yellow,21.7,39.5,05:07:35
dht22-yellow,21.8,39.3,05:09:44
dht22-yellow,21.8,39.2,05:11:50
dht22-yellow,21.8,39.1,05:14:00
dht22-yellow,21.8,39,05:16:06
dht22-yellow,21.8,39.2,05:18:15
dht22-yellow,21.8,39.1,05:20:26
dht22-yellow,21.7,39.2,05:22:33
dht22-yellow,21.7,39.2,05:24:42
dht22-yellow,21.7,39.2,05:26:52
dht22-yellow,21.7,39.2,05:28:54
dht22-yellow,21.7,39.1,05:31:00
dht22-yellow,21.7,39.1,05:33:04
dht22-yellow,21.7,38.9,05:35:12
dht22-yellow,21.7,38.9,05:37:13
dht22-yellow,21.7,38.8,05:39:21
dht22-yellow,21.8,38.8,05:41:22
dht22-yellow,21.8,38.7,05:43:24
dht22-yellow,21.7,38.8,05:45:32
dht22-yellow,21.7,38.8,05:47:40
dht22-yellow,21.7,38.8,05:49:48
dht22-yellow,21.7,38.8,05:51:56
dht22-yellow,21.7,38.8,05:54:04
dht22-yellow,21.6,38.6,05:56:10
dht22-yellow,21.7,38.7,05:58:22
dht22-yellow,21.7,38.5,06:00:33
dht22-yellow,21.7,38.5,06:02:39
dht22-yellow,21.7,38.4,06:04:45
dht22-yellow,21.7,38.4,06:06:53
dht22-yellow,21.7,38.3,06:09:02
dht22-yellow,21.7,38.3,06:11:03
dht22-yellow,21.7,38.4,06:13:07
dht22-yellow,21.7,38.4,06:15:20
dht22-yellow,21.7,38.4,06:17:25
dht22-yellow,21.7,38.4,06:20:33
dht22-yellow,21.6,38.3,06:22:42
dht22-yellow,21.6,38.9,06:29:55
dht22-yellow,21.7,38.1,06:40:44
dht22-yellow,21.6,38.1,06:49:53
dht22-yellow,21.6,38,06:53:17
dht22-yellow,21.7,37.7,06:56:05
dht22-yellow,21.8,38,06:58:14
dht22-yellow,21.8,38,07:00:20
dht22-yellow,21.8,37.5,07:02:26
dht22-yellow,21.8,37.6,07:04:34
dht22-yellow,21.8,37.6,07:06:40
dht22-yellow,21.8,37.7,07:08:46
dht22-yellow,21.9,37.6,07:10:52
dht22-yellow,21.8,37.6,07:12:59
dht22-yellow,21.8,37.6,07:15:02
dht22-yellow,21.7,37.7,07:17:06
dht22-yellow,21.7,37.7,07:19:12
dht22-yellow,21.7,37.7,07:21:16
dht22-yellow,21.7,37.7,07:23:24
dht22-yellow,21.7,37.6,07:25:36
dht22-yellow,21.6,37.5,07:27:47
dht22-yellow,21.6,37.5,07:29:50
dht22-yellow,21.6,37.6,07:31:54
dht22-yellow,21.6,37.6,07:34:02
dht22-yellow,21.5,37.6,07:36:08
dht22-yellow,21.5,37.6,07:38:16
dht22-yellow,21.5,37.7,07:40:22
dht22-yellow,21.5,37.7,07:42:26
dht22-yellow,21.4,37.5,07:44:34
dht22-yellow,21.4,37.5,07:46:43
dht22-yellow,21.4,37.5,07:48:47
dht22-yellow,21.4,37.5,07:50:52
dht22-yellow,21.4,37.4,07:52:55
dht22-yellow,21.4,37.4,07:55:04
dht22-yellow,21.3,37.4,07:57:13
dht22-yellow,21.3,37.4,07:59:20
dht22-yellow,21.3,37.4,08:01:24
dht22-yellow,21.3,37.5,08:03:28
dht22-yellow,21.3,37.4,08:05:31
dht22-yellow,21.2,37.4,08:07:35
dht22-yellow,21.2,37.4,08:09:43
dht22-yellow,21.2,37.3,08:11:51
dht22-yellow,21.2,37.3,08:13:55
dht22-yellow,21.2,37.2,08:15:56
dht22-yellow,21.3,37.2,08:17:58
dht22-yellow,21.3,37.2,08:20:02
dht22-yellow,21.3,37.2,08:22:09
dht22-yellow,21.3,37.2,08:24:11
dht22-yellow,21.1,37.2,08:26:19
dht22-yellow,21.1,37.2,08:28:27
dht22-yellow,21.1,37.2,08:30:33
dht22-yellow,21.1,37.3,08:32:35
dht22-yellow,21,37.2,08:34:42
dht22-yellow,21,37.2,08:36:48
dht22-yellow,21,37.1,08:38:56
dht22-yellow,21.1,37.2,08:41:00
dht22-yellow,21.1,37.1,08:43:04
dht22-yellow,21.1,37,08:45:10
dht22-yellow,21.1,37,08:47:13
dht22-yellow,21.1,37,08:49:17
dht22-yellow,21.1,37,08:51:21
dht22-yellow,21,37,08:53:27
dht22-yellow,21,36.9,08:55:30
dht22-yellow,21,37,08:57:38
