id,t,h,ts
dht22-yellow,21.6,37.7,2017-03-25T06:07:34.780Z
dht22-yellow,21.6,37.6,2017-03-25T06:07:50.751Z
dht22-yellow,21.6,37.6,2017-03-25T06:08:02.225Z
dht22-yellow,21.6,37.6,2017-03-25T06:08:15.916Z
dht22-yellow,21.6,37.6,2017-03-25T06:24:34.064Z
dht22-yellow,21.4,37.7,2017-03-25T06:26:35.584Z
dht22-yellow,21.3,37.8,2017-03-25T06:28:37.101Z
dht22-yellow,21.4,37.8,2017-03-25T06:30:38.616Z
dht22-yellow,21.5,37.7,2017-03-25T06:32:40.111Z
dht22-yellow,21.5,37.7,2017-03-25T06:34:41.617Z
dht22-yellow,21.5,37.5,2017-03-25T06:36:43.140Z
dht22-yellow,21.5,37.4,2017-03-25T06:38:46.909Z
dht22-yellow,21.6,37.4,2017-03-25T06:40:48.422Z
dht22-yellow,21.7,37.6,2017-03-25T06:42:49.926Z
dht22-yellow,21.7,37.5,2017-03-25T06:44:51.423Z
dht22-yellow,21.8,37.6,2017-03-25T06:46:52.928Z
dht22-yellow,21.8,37.6,2017-03-25T06:48:56.758Z
dht22-yellow,21.7,37.6,2017-03-25T06:51:00.251Z
dht22-yellow,21.7,37.7,2017-03-25T06:53:01.739Z
dht22-yellow,21.7,37.8,2017-03-25T06:55:03.244Z
dht22-yellow,21.6,37.8,2017-03-25T06:57:04.749Z
dht22-yellow,21.6,37.8,2017-03-25T06:59:06.270Z
dht22-yellow,21.6,37.8,2017-03-25T07:01:07.776Z
dht22-yellow,21.8,38.6,2017-03-25T07:03:40.361Z
dht22-yellow,22.5,38.6,2017-03-25T07:05:41.861Z
dht22-yellow,22.2,36.6,2017-03-25T07:07:43.356Z
dht22-yellow,21.7,37.3,2017-03-25T07:09:44.867Z
dht22-yellow,21.4,37.8,2017-03-25T07:11:46.381Z
dht22-yellow,21.3,38.1,2017-03-25T07:13:47.884Z
dht22-yellow,21.2,38.2,2017-03-25T07:15:49.391Z
dht22-yellow,21.1,38.3,2017-03-25T07:17:50.961Z
dht22-yellow,21.1,38.3,2017-03-25T07:19:52.500Z
dht22-yellow,21.1,38.4,2017-03-25T07:21:55.828Z
dht22-yellow,21,38.4,2017-03-25T07:23:59.314Z
dht22-yellow,21,38.4,2017-03-25T07:26:03.100Z
dht22-yellow,21,38.4,2017-03-25T07:28:04.650Z
dht22-yellow,21,38.4,2017-03-25T07:30:06.161Z
dht22-yellow,21,38.4,2017-03-25T07:32:07.671Z
dht22-yellow,21,38.4,2017-03-25T07:34:09.226Z
dht22-yellow,20.9,38.3,2017-03-25T07:36:10.739Z
dht22-yellow,21,38.3,2017-03-25T07:38:14.249Z
dht22-yellow,21,38.3,2017-03-25T07:40:17.559Z
dht22-yellow,21,38.2,2017-03-25T07:42:19.065Z
dht22-yellow,21,38.1,2017-03-25T07:44:22.512Z
dht22-yellow,21,38.1,2017-03-25T07:46:24.010Z
dht22-yellow,21,38,2017-03-25T07:48:25.509Z
dht22-yellow,21,38.1,2017-03-25T07:50:27.009Z
dht22-yellow,21,38.1,2017-03-25T07:52:30.843Z
dht22-yellow,20.9,38,2017-03-25T07:54:32.353Z
dht22-yellow,20.9,38,2017-03-25T07:56:33.876Z
dht22-yellow,20.9,38,2017-03-25T07:58:35.369Z
dht22-yellow,20.9,38,2017-03-25T08:00:36.878Z
dht22-yellow,20.9,38,2017-03-25T08:02:38.390Z
dht22-yellow,20.8,37.9,2017-03-25T08:04:39.904Z
dht22-yellow,20.9,37.9,2017-03-25T08:06:41.444Z
dht22-yellow,20.9,37.9,2017-03-25T08:08:42.956Z
dht22-yellow,20.9,37.9,2017-03-25T08:10:44.477Z
dht22-yellow,20.9,37.8,2017-03-25T08:12:46.969Z
dht22-yellow,20.9,37.8,2017-03-25T08:14:48.471Z
dht22-yellow,20.9,37.7,2017-03-25T08:16:50.009Z
dht22-yellow,20.9,37.7,2017-03-25T08:18:51.519Z
dht22-yellow,20.9,37.7,2017-03-25T08:20:53.050Z
dht22-yellow,20.9,37.7,2017-03-25T08:22:54.552Z
dht22-yellow,20.8,37.7,2017-03-25T08:24:56.051Z
dht22-yellow,20.8,37.7,2017-03-25T08:26:59.537Z
dht22-yellow,20.8,37.7,2017-03-25T08:29:01.043Z
dht22-yellow,20.7,37.6,2017-03-25T08:31:02.535Z
dht22-yellow,20.7,37.6,2017-03-25T08:33:04.031Z
dht22-yellow,20.7,37.6,2017-03-25T08:35:05.553Z
dht22-yellow,20.7,37.6,2017-03-25T08:37:07.039Z
dht22-yellow,20.7,37.6,2017-03-25T08:39:10.341Z
dht22-yellow,20.7,37.6,2017-03-25T08:41:11.843Z
dht22-yellow,20.7,37.6,2017-03-25T08:43:15.340Z
dht22-yellow,20.7,37.5,2017-03-25T08:45:18.677Z
dht22-yellow,20.8,37.5,2017-03-25T08:47:20.179Z
dht22-yellow,20.8,37.4,2017-03-25T08:49:25.951Z
dht22-yellow,20.8,37.4,2017-03-25T08:51:27.450Z
dht22-yellow,20.7,37.3,2017-03-25T08:53:30.924Z
dht22-yellow,20.7,37.4,2017-03-25T08:55:35.685Z
dht22-yellow,20.7,37.4,2017-03-25T08:57:37.193Z
dht22-yellow,20.7,37.4,2017-03-25T08:59:38.763Z
